episode,steps,X,Y,yaw,steer,throttle,action,reward,done,all_wheels_on_track,progress,closest_waypoint,track_len,tstamp,episode_status,pause_duration,obstacle_crash_counter
480,1.0,-8.657174393097227,-1.4888524332041038,-62.51019100261381,-30.0,3.2026714420888553,[-30.0 3.2026714420888553],0.0,False,True,0.2362216828914893,0,59.35085588912497,2048.756,prepare,0.0,0
480,2.0,-8.65734832538754,-1.4887179161572193,-62.525152501505126,19.666336047722226,1.4624896975244481,[19.666336047722226 1.4624896975244481],199.9554543517292,False,True,0.23588539356793445,0,59.35085588912497,2048.831,in_progress,0.0,0
480,3.0,-8.653643674417669,-1.4973427234875194,-62.75187652070665,30.0,1.7460826992028904,[30.0 1.7460826992028904],183.01408315911817,False,True,0.25165807227498393,1,59.35085588912497,2048.907,in_progress,0.0,0
480,4.0,-8.63101148116748,-1.510455065888095,-59.33907573994223,30.0,3.4562539021113614,[30.0 3.4562539021113614],670.8236950180826,False,True,0.2888521721384635,1,59.35085588912497,2048.989,in_progress,0.0,0
480,5.0,-8.585783981724674,-1.5326855775650738,-52.92783915424713,-30.0,3.193298005481841,[-30.0 3.193298005481841],218.76879229950305,False,True,0.35724095996687016,1,59.35085588912497,2049.064,in_progress,0.0,0
480,6.0,-8.531050862868131,-1.5675344889672445,-47.8248004506633,-30.0,1.0,[-30.0 1.0],0.1532290561920315,False,True,0.45188163329201736,1,59.35085588912497,2049.143,in_progress,0.0,0
480,7.0,-8.495897186589701,-1.629035495485535,-50.945639189799316,3.356628642303974,1.0,[3.356628642303974 1.0],14.486490826567744,False,True,0.5710052113345777,1,59.35085588912497,2049.219,in_progress,0.0,0
480,8.0,-8.45804266923598,-1.695209199777766,-53.63600778947348,-27.655638356222656,1.0,[-27.655638356222656 1.0],7.314352816125849,False,True,0.6993462294502316,1,59.35085588912497,2049.298,in_progress,0.0,0
480,9.0,-8.421087192878936,-1.7580638609591421,-55.325574379289826,-30.0,4.0,[-30.0 4.0],1000.0,False,True,0.8220255837513637,2,59.35085588912497,2049.386,in_progress,0.0,0
480,10.0,-8.385888685607547,-1.8562886987089542,-61.16989822929282,-30.0,3.450994722749827,[-30.0 3.450994722749827],522.7114203391973,False,True,0.9952305292765384,2,59.35085588912497,2049.448,in_progress,0.0,0
480,11.0,-8.374113477874717,-1.955512402855526,-69.54822847021379,-9.146616336029389,1.0,[-9.146616336029389 1.0],105.05437770335482,False,True,1.1532651035904262,2,59.35085588912497,2049.541,in_progress,0.0,0
480,12.0,-8.368154171275217,-2.0846759610970147,-80.4929249548192,-30.0,1.2209977269052321,[-30.0 1.2209977269052321],17.509261045684767,False,True,1.3518349514337562,3,59.35085588912497,2049.634,in_progress,0.0,0
480,13.0,-8.380252164663618,-2.199447985935715,-87.6336285676932,30.0,4.0,[30.0 4.0],1000.0,False,True,1.5143139887283112,3,59.35085588912497,2049.719,in_progress,0.0,0
480,14.0,-8.38816721697523,-2.321951887265892,-89.69323953443408,30.0,4.0,[30.0 4.0],400.0326727620511,False,True,1.691740359576776,3,59.35085588912497,2049.81,in_progress,0.0,0
480,15.0,-8.362753822717755,-2.4519881760140314,-84.49631715441654,30.0,1.0,[30.0 1.0],0.09765629051045402,False,True,1.9061473422186326,4,59.35085588912497,2049.894,in_progress,0.0,0
480,16.0,-8.31986051785803,-2.576563372606861,-77.12856764466929,30.0,1.0,[30.0 1.0],1.5966776334129333,False,True,2.1225025911075424,4,59.35085588912497,2049.968,in_progress,0.0,0
480,17.0,-8.279876503621404,-2.6700219364692686,-72.97564661636582,30.0,4.0,[30.0 4.0],1000.0,False,True,2.2932142280156778,5,59.35085588912497,2050.052,in_progress,0.0,0
480,18.0,-8.225778543502571,-2.767897668346908,-67.9785901242282,30.0,4.0,[30.0 4.0],425.86872554689614,False,True,2.4883975775337057,5,59.35085588912497,2050.127,in_progress,0.0,0
480,19.0,-8.142578744641256,-2.867589721621962,-59.53603648194799,-30.0,1.0,[-30.0 1.0],0.4223100991619385,False,True,2.7014243059412077,5,59.35085588912497,2050.21,in_progress,0.0,0
480,20.0,-8.057492487589055,-2.9535556871458244,-50.9515988146775,6.960777836963906,2.6749682711569123,[6.960777836963906 2.6749682711569123],245.86706640729034,False,True,2.895212754492729,6,59.35085588912497,2050.295,in_progress,0.0,0
480,21.0,-7.955262227048319,-3.0541356259692574,-46.67783697907543,-17.259119459720168,3.822903462361245,[-17.259119459720168 3.822903462361245],540.6271862804315,False,True,3.127658190189806,6,59.35085588912497,2050.374,in_progress,0.0,0
480,22.0,-7.852307536390741,-3.1622181039503094,-46.73516523106652,28.82610199015511,1.0,[28.82610199015511 1.0],32.399072817556366,False,True,3.3664116418728454,7,59.35085588912497,2050.452,in_progress,0.0,0
480,23.0,-7.758281398105106,-3.2766673278359644,-49.054027193740204,-30.0,2.0550726512949438,[-30.0 2.0550726512949438],282.6982914665094,False,True,3.6085182111316603,7,59.35085588912497,2050.534,in_progress,0.0,0
480,24.0,-7.675542615929319,-3.377212535980519,-50.01152340992756,-20.89449343831447,1.9941723190345235,[-20.89449343831447 1.9941723190345235],73.92668177213422,False,True,3.8207746052758083,8,59.35085588912497,2050.617,in_progress,0.0,0
480,25.0,-7.605320975922671,-3.50055093447031,-55.255709359162104,24.800623335252865,2.0091519813045036,[24.800623335252865 2.0091519813045036],143.90649882774537,False,True,4.060768915775898,8,59.35085588912497,2050.694,in_progress,0.0,0
