episode,steps,X,Y,yaw,steer,throttle,action,reward,done,all_wheels_on_track,progress,closest_waypoint,track_len,tstamp,episode_status,pause_duration,obstacle_crash_counter
80,1.0,-8.657053546930667,-1.4888987076576377,-62.48535639991419,-13.976285704842606,2.5639055171092435,[-13.976285704842606 2.5639055171092435],0.0,False,True,0.236384795629513,0,59.35085588912497,245.134,prepare,0.0,0
80,2.0,-8.657348325387783,-1.4887179161567516,-62.5251525015051,-2.53697798020616,2.72851188965557,[-2.53697798020616 2.72851188965557],486.34359982190307,False,True,0.23588539356793442,0,59.35085588912497,245.203,in_progress,0.0,0
80,3.0,-8.650118559068414,-1.4940292709043002,-61.45156851796133,-20.144653913842276,3.2778217896005337,[-20.144653913842276 3.2778217896005337],370.93773647180467,False,True,0.24944513806878926,1,59.35085588912497,245.29,in_progress,0.0,0
80,4.0,-8.63925871858524,-1.5232718640167933,-62.48473858316494,-1.1059469808702787,3.245621836351457,[-1.1059469808702787 3.245621836351457],631.7645751609315,False,True,0.3016005932748299,1,59.35085588912497,245.366,in_progress,0.0,0
80,5.0,-8.620349278447005,-1.5739798161923102,-64.09094411430779,8.72402531608224,1.158924810027414,[8.72402531608224 1.158924810027414],109.08018432929751,False,True,0.39210109279496486,1,59.35085588912497,245.438,in_progress,0.0,0
80,6.0,-8.580465060909845,-1.6252284767102083,-61.252177071567765,23.241072157303513,1.0,[23.241072157303513 1.0],121.98042690689044,False,True,0.49970523212083134,1,59.35085588912497,245.512,in_progress,0.0,0
80,7.0,-8.533992617807618,-1.6730067779506492,-57.24901362587764,-15.591905032883684,2.492492098874777,[-15.591905032883684 2.492492098874777],501.79964798491613,False,True,0.6072183189344793,1,59.35085588912497,245.581,in_progress,0.0,0
80,8.0,-8.480863595889815,-1.7342731553406643,-55.09463620588287,9.473486810149502,1.0,[9.473486810149502 1.0],20.867398064617063,False,True,0.740069203245997,1,59.35085588912497,245.66,in_progress,0.0,0
80,9.0,-8.424640306078246,-1.807985740020977,-54.14797325251916,-16.07899754671906,1.0,[-16.07899754671906 1.0],1.6545834380789717,False,True,0.8939360252175222,2,59.35085588912497,245.731,in_progress,0.0,0
80,10.0,-8.374122860089868,-1.8677789855569142,-52.87979278713081,-5.688186357556255,1.2509677287017045,[-5.688186357556255 1.2509677287017045],27.36182228709093,False,True,1.0214700253085043,2,59.35085588912497,245.814,in_progress,0.0,0
80,11.0,-8.32739518718913,-1.9488959411554156,-55.45142052974327,-29.083552074012992,4.0,[-29.083552074012992 4.0],1000.0,False,True,1.1789808259185808,2,59.35085588912497,245.884,in_progress,0.0,0
80,12.0,-8.29173179572988,-2.031230994423914,-59.47589805136034,1.560676656738469,2.8129543474354266,[1.560676656738469 2.8129543474354266],85.17363385085297,False,True,1.3298773154640346,3,59.35085588912497,245.958,in_progress,0.0,0
80,13.0,-8.253238720517164,-2.1382426420479144,-64.04657238602539,-30.0,1.76489647964693,[-30.0 1.76489647964693],168.5863252142015,False,True,1.5205458461272185,3,59.35085588912497,246.03,in_progress,0.0,0
80,14.0,-8.211193794438373,-2.252286798253639,-66.64291931930765,-30.0,2.3249616546628418,[-30.0 2.3249616546628418],230.84102332981627,False,True,1.723817058001147,3,59.35085588912497,246.12,in_progress,0.0,0
80,15.0,-8.184301625315474,-2.398531524003735,-73.28087672775402,-2.9075673356141536,1.0,[-2.9075673356141536 1.0],34.76557645650872,False,True,1.9636467821514472,4,59.35085588912497,246.197,in_progress,0.0,0
80,16.0,-8.171776257875292,-2.536151880534959,-79.00736374062423,19.290409902007745,3.0082907055226915,[19.290409902007745 3.0082907055226915],509.0684706798962,False,True,2.178665138702327,4,59.35085588912497,246.273,in_progress,0.0,0
80,17.0,-8.155369496375165,-2.667497315222091,-80.56170613836376,12.285087400326887,1.1370877305162492,[12.285087400326887 1.1370877305162492],0.6341534214395085,False,True,2.3873102816400755,5,59.35085588912497,246.347,in_progress,0.0,0
80,18.0,-8.112046628903792,-2.7981841406731487,-76.1609328963969,30.0,1.0,[30.0 1.0],2.459609633734792,False,True,2.620026641948198,5,59.35085588912497,246.417,in_progress,0.0,0
80,19.0,-8.072268337877714,-2.8892667098755855,-72.46130315393175,30.0,2.5309813812642687,[30.0 2.5309813812642687],187.85909575009,False,True,2.787245627251702,6,59.35085588912497,246.49,in_progress,0.0,0
80,20.0,-8.013145148118669,-2.9885082984034765,-66.8613553535704,-18.174922799272167,4.0,[-18.174922799272167 4.0],391.6395811416529,False,True,2.9860205508682984,6,59.35085588912497,246.565,in_progress,0.0,0
80,21.0,-7.950874212673555,-3.0871522107739335,-63.270797078407014,20.441301709062955,1.996076965123431,[20.441301709062955 1.996076965123431],38.05241010196685,False,True,3.181115739213473,6,59.35085588912497,246.635,in_progress,0.0,0
80,22.0,-7.8884200647287015,-3.2082369612556696,-62.82587383509214,30.0,1.9206338798141052,[30.0 1.9206338798141052],45.41858582044971,False,True,3.4105306179538415,7,59.35085588912497,246.712,in_progress,0.0,0
80,23.0,-7.805645808716637,-3.3231398241364123,-58.52849845265067,-30.0,1.809774740536183,[-30.0 1.809774740536183],220.08969099593983,False,True,3.6461296362050337,7,59.35085588912497,246.779,in_progress,0.0,0
