episode,steps,X,Y,yaw,steer,throttle,action,reward,done,all_wheels_on_track,progress,closest_waypoint,track_len,tstamp,episode_status,pause_duration,obstacle_crash_counter
680,1.0,-8.65714811248579,-1.488836123158559,-62.5046002056481,17.758464827247323,3.389576261736625,[17.758464827247323 3.389576261736625],0.0,False,True,0.23621773064715965,0,59.35085588912497,2898.28,prepare,0.0,0
680,2.0,-8.657348325387419,-1.488717916157453,-62.525152501505,-5.446893469022527,4.0,[-5.446893469022527 4.0],900.0,False,True,0.23588539356793375,0,59.35085588912497,2898.362,in_progress,0.0,0
680,3.0,-8.64968872723344,-1.5044346314933723,-62.61217979254538,30.0,2.2683755821142237,[30.0 2.2683755821142237],231.15986684048104,False,True,0.26533384365292395,1,59.35085588912497,2898.446,in_progress,0.0,0
680,4.0,-8.627491608141685,-1.5228485082244902,-60.22297609603993,18.984897142578106,1.7005083974755675,[18.984897142578106 1.7005083974755675],191.6190898517249,False,True,0.31011480482514775,1,59.35085588912497,2898.521,in_progress,0.0,0
680,5.0,-8.589280311187837,-1.5501836700102893,-55.6014611082713,-4.212721962035058,2.2789557408410506,[-4.212721962035058 2.2789557408410506],64.57412743065943,False,True,0.3806803512299406,1,59.35085588912497,2898.607,in_progress,0.0,0
680,6.0,-8.532638072055567,-1.6061857139959734,-52.4163810637351,-30.0,4.0,[-30.0 4.0],504.0564573064503,False,True,0.5083266007743922,1,59.35085588912497,2898.693,in_progress,0.0,0
680,7.0,-8.48930045200065,-1.6812849560151257,-55.197005291033314,-30.0,1.0,[-30.0 1.0],18.11051708727727,False,True,0.6542709878434898,1,59.35085588912497,2898.763,in_progress,0.0,0
680,8.0,-8.462129029801902,-1.760672752424935,-60.2306711340882,-30.0,4.0,[-30.0 4.0],1000.0,False,True,0.7940882703195701,2,59.35085588912497,2898.838,in_progress,0.0,0
680,9.0,-8.440069649780437,-1.861391324123077,-66.91734964900657,-28.653607323398926,2.642180331843783,[-28.653607323398926 2.642180331843783],59.919709855733956,False,True,0.9618436330838906,2,59.35085588912497,2898.92,in_progress,0.0,0
680,10.0,-8.437943574969216,-1.9911621770471335,-77.1752215184401,-4.398095425585659,4.0,[-4.398095425585659 4.0],359.97180651926095,False,True,1.1581020658265235,2,59.35085588912497,2899.019,in_progress,0.0,0
680,11.0,-8.444795258539903,-2.172746171043695,-86.30779138530178,30.0,4.0,[30.0 4.0],400.00000143159286,False,True,1.4256376501650339,3,59.35085588912497,2899.105,in_progress,0.0,0
680,12.0,-8.422708552053031,-2.3409232533564124,-83.96320743199765,30.0,2.566793213544386,[30.0 2.566793213544386],50.21661311766279,False,True,1.6935311310960668,3,59.35085588912497,2899.193,in_progress,0.0,0
680,13.0,-8.364798442569418,-2.5168821978591702,-76.36771798503662,30.0,1.0,[30.0 1.0],0.3383699345055688,False,True,1.9982372807447426,4,59.35085588912497,2899.277,in_progress,0.0,0
680,14.0,-8.28879511295233,-2.674282511549224,-68.03785592867101,30.0,4.0,[30.0 4.0],1000.0,False,True,2.292554204861072,5,59.35085588912497,2899.348,in_progress,0.0,0
680,15.0,-8.208832549925784,-2.804245495097994,-62.61435365095918,7.248801925722709,1.0,[7.248801925722709 1.0],1.0894137931648213,False,True,2.5559395686844306,5,59.35085588912497,2899.428,in_progress,0.0,0
680,16.0,-8.102999245689556,-2.9253067670627284,-54.295236584575875,-4.966541854406032,2.7008588390315387,[-4.966541854406032 2.7008588390315387],259.20507193492085,False,True,2.81825954846695,6,59.35085588912497,2899.508,in_progress,0.0,0
680,17.0,-8.001403048736234,-3.0379428020984913,-50.6482792725974,-23.27870787412136,4.0,[-23.27870787412136 4.0],558.7489655651264,False,True,3.069782754090082,6,59.35085588912497,2899.591,in_progress,0.0,0
680,18.0,-7.897710337428911,-3.16806007625626,-51.210699417751414,3.9769587196479392,3.132762037067489,[3.9769587196479392 3.132762037067489],152.15219612843595,False,True,3.3426365849570434,7,59.35085588912497,2899.67,in_progress,0.0,0
680,19.0,-7.785005558141589,-3.3199000890356376,-52.3678072085104,12.886591625710835,4.0,[12.886591625710835 4.0],516.8579336010612,False,True,3.6557598846127823,7,59.35085588912497,2899.737,in_progress,0.0,0
680,20.0,-7.658578999972967,-3.4596310645411914,-49.41683980059444,1.3522327026700722,3.3728673606971076,[1.3522327026700722 3.3728673606971076],488.4558584232542,False,True,3.9592034170350767,8,59.35085588912497,2899.814,in_progress,0.0,0
680,21.0,-7.497123489926,-3.6134579349344684,-45.40813127159868,-13.617479331433945,1.0,[-13.617479331433945 1.0],0.13840651389458503,False,True,4.312082665151273,9,59.35085588912497,2899.892,in_progress,0.0,0
680,22.0,-7.3500916494965205,-3.7686799997070373,-45.16929613667691,4.038088957552304,1.0,[4.038088957552304 1.0],1.6350054597122399,False,True,4.672379901734577,9,59.35085588912497,2899.978,in_progress,0.0,0
680,23.0,-7.200303088493433,-3.927247397263658,-45.77971512562989,30.0,1.0,[30.0 1.0],2.3367362470885182,False,True,5.07735713166946,10,59.35085588912497,2900.05,in_progress,0.0,0
680,24.0,-7.085919530424951,-4.031838459099746,-43.99295715938385,30.0,1.0,[30.0 1.0],1.5625001998259727,False,True,5.335457430827282,11,59.35085588912497,2900.137,in_progress,0.0,0
