episode,steps,X,Y,yaw,steer,throttle,action,reward,done,all_wheels_on_track,progress,closest_waypoint,track_len,tstamp,episode_status,pause_duration,obstacle_crash_counter
620,1.0,-8.657197027003008,-1.4887778921161896,-62.47155585681202,-18.81678852926034,3.017767193769057,[-18.81678852926034 3.017767193769057],0.0,False,True,0.23609265995638318,0,59.35085588912497,2626.582,prepare,0.0,0
620,2.0,-8.657348325387455,-1.4887179161573831,-62.52515250150518,30.0,1.0720321865805986,[30.0 1.0720321865805986],136.89470732788035,False,True,0.2358853935679348,0,59.35085588912497,2626.653,in_progress,0.0,0
620,3.0,-8.65574418249523,-1.4937350304060046,-62.84068245071934,30.0,1.4762100211447917,[30.0 1.4762100211447917],166.5958127392848,False,True,0.24463225529406238,0,59.35085588912497,2626.737,in_progress,0.0,0
620,4.0,-8.630282579521188,-1.5097331693206628,-59.14297163177635,17.805472274601257,2.3535535053310124,[17.805472274601257 2.3535535053310124],293.7015142135453,False,True,0.28833964223736314,1,59.35085588912497,2626.819,in_progress,0.0,0
620,5.0,-8.587243117059543,-1.5363729105240538,-53.73931301501033,-30.0,2.258034929107885,[-30.0 2.258034929107885],99.20514707670951,False,True,0.36161876697550366,1,59.35085588912497,2626.913,in_progress,0.0,0
620,6.0,-8.532244539047468,-1.5979728438708838,-52.18029390535955,-30.0,3.7744460893528538,[-30.0 3.7744460893528538],407.5360323339673,False,True,0.49634811669174717,1,59.35085588912497,2626.994,in_progress,0.0,0
620,7.0,-8.49782452697086,-1.6724845556041716,-56.33002162987638,-30.0,3.125653227630652,[-30.0 3.125653227630652],286.516761568818,False,True,0.6344956633468657,1,59.35085588912497,2627.067,in_progress,0.0,0
620,8.0,-8.476157925847556,-1.7706456505554202,-64.3112320372719,-30.0,4.0,[-30.0 4.0],471.85169553572507,False,True,0.7981211646386938,2,59.35085588912497,2627.151,in_progress,0.0,0
620,9.0,-8.469934356996871,-1.9033206810942769,-75.31073940697355,-10.221271477765047,3.211743033430836,[-10.221271477765047 3.211743033430836],417.53209829006954,False,True,1.0017369966892242,2,59.35085588912497,2627.225,in_progress,0.0,0
620,10.0,-8.47544540860677,-2.0339194453431553,-84.0449523620361,30.0,4.0,[30.0 4.0],159.28745089380175,False,True,1.1937087500478007,2,59.35085588912497,2627.308,in_progress,0.0,0
620,11.0,-8.468672753335968,-2.197091803162474,-86.34042072185093,30.0,1.0712096211348447,[30.0 1.0712096211348447],0.20607578908536425,False,True,1.4439853259487174,3,59.35085588912497,2627.404,in_progress,0.0,0
620,12.0,-8.437334027127948,-2.3727032345216634,-82.32110117900392,30.0,2.807922938689931,[30.0 2.807922938689931],270.5306488627696,False,True,1.7298660707700693,4,59.35085588912497,2627.498,in_progress,0.0,0
620,13.0,-8.3857122237582,-2.5361638476140422,-76.37735819982623,-30.0,1.0,[-30.0 1.0],0.23112484684299436,False,True,2.01053600368674,4,59.35085588912497,2627.58,in_progress,0.0,0
620,14.0,-8.327683203151164,-2.6671389484467642,-70.06664771752881,30.0,4.0,[30.0 4.0],1000.0,False,True,2.2513430139291644,5,59.35085588912497,2627.653,in_progress,0.0,0
620,15.0,-8.267401839586505,-2.7959743343272527,-66.72166600002532,29.906984293155404,1.5725734479309632,[29.906984293155404 1.5725734479309632],4.646485139187528,False,True,2.4991828013760427,5,59.35085588912497,2627.733,in_progress,0.0,0
620,16.0,-8.19628381350341,-2.9051963617691157,-62.143659337676,-30.0,1.0,[-30.0 1.0],0.664412351085298,False,True,2.717418220593407,6,59.35085588912497,2627.809,in_progress,0.0,0
620,17.0,-8.127451093937804,-3.009528060297514,-59.30576578207272,30.0,1.0,[30.0 1.0],1.5625004132119615,False,True,2.9265623222222836,6,59.35085588912497,2627.886,in_progress,0.0,0
620,18.0,-8.066582259870165,-3.1107099838423693,-59.00613133904259,30.0,1.2909162521172184,[30.0 1.2909162521172184],6.073536347640477,False,True,3.133733412360463,6,59.35085588912497,2627.971,in_progress,0.0,0
620,19.0,-7.997450764916664,-3.1875070145674504,-54.76711526799147,30.0,2.6877854198038484,[30.0 2.6877854198038484],152.31254582395346,False,True,3.300482983851382,7,59.35085588912497,2628.049,in_progress,0.0,0
620,20.0,-7.90794067466559,-3.263277396880374,-48.57976855043377,24.904029608445214,4.0,[24.904029608445214 4.0],593.5078579113559,False,True,3.4822799733593035,7,59.35085588912497,2628.126,in_progress,0.0,0
620,21.0,-7.80060995032026,-3.331003131114104,-40.96783634826403,-17.754157753900785,1.5808840246318945,[-17.754157753900785 1.5808840246318945],140.92229947783272,False,True,3.6617155457897037,7,59.35085588912497,2628.209,in_progress,0.0,0
620,22.0,-7.681478990564913,-3.399267734097676,-33.87408561512594,-30.0,4.0,[-30.0 4.0],659.7735649994538,False,True,3.8503140577454555,8,59.35085588912497,2628.288,in_progress,0.0,0
620,23.0,-7.556009296316851,-3.4882738306097916,-33.92547024958693,-6.646536505954359,1.623313276009763,[-6.646536505954359 1.623313276009763],4.707242986560926,False,True,4.079033684763774,8,59.35085588912497,2628.37,in_progress,0.0,0
620,24.0,-7.451970559204536,-3.58100622368011,-37.679745745816135,-30.0,1.0,[-30.0 1.0],0.5929462773255728,False,True,4.296768985414016,9,59.35085588912497,2628.448,in_progress,0.0,0
620,25.0,-7.354372395428987,-3.671973542627248,-40.163614527642125,-10.825783327842068,1.0,[-10.825783327842068 1.0],1.6234253938360579,False,True,4.527791671604792,9,59.35085588912497,2628.526,in_progress,0.0,0
620,26.0,-7.2796069492368485,-3.761923575564094,-44.47555081204273,-11.301163181591438,4.0,[-11.301163181591438 4.0],1000.0,False,True,4.722085910122631,10,59.35085588912497,2628.635,in_progress,0.0,0
620,27.0,-7.178131458077332,-3.9100984941015677,-51.15696777640148,30.0,1.0,[30.0 1.0],0.4278686902752151,False,True,5.078246374351276,10,59.35085588912497,2628.721,in_progress,0.0,0
620,28.0,-7.103794868489358,-4.024089354523978,-54.87873559381816,30.0,1.0,[30.0 1.0],1.5671580157848843,False,True,5.306410097472733,11,59.35085588912497,2628.804,in_progress,0.0,0
620,29.0,-7.035707642715501,-4.115012688493184,-54.26672241168138,7.4033199351526235,1.5392102316607488,[7.4033199351526235 1.5392102316607488],53.709645799931735,False,True,5.556654737600855,11,59.35085588912497,2628.899,in_progress,0.0,0
620,30.0,-6.942142083812759,-4.209921224101235,-50.03162293505869,-7.9199624269583,4.0,[-7.9199624269583 4.0],679.4137590321968,False,True,5.780340364909739,12,59.35085588912497,2628.991,in_progress,0.0,0
