episode,steps,X,Y,yaw,steer,throttle,action,reward,done,all_wheels_on_track,progress,closest_waypoint,track_len,tstamp,episode_status,pause_duration,obstacle_crash_counter
520,1.0,-8.657208816598324,-1.4889708448319126,-62.51378972891229,-15.171772299987829,3.430942757041472,[-15.171772299987829 3.430942757041472],0.0,False,True,0.2363719331105119,0,59.35085588912497,2218.791,prepare,0.0,0
520,2.0,-8.657348325387515,-1.4887179161572663,-62.525152501505225,29.918600223348584,1.3428314467814424,[29.918600223348584 1.3428314467814424],179.36432067638472,False,True,0.23588539356793536,0,59.35085588912497,2218.87,in_progress,0.0,0
520,3.0,-8.653680298151171,-1.4929144907745329,-62.047326343942224,30.0,1.6361170708800028,[30.0 1.6361170708800028],173.6486306917914,False,True,0.2450100058394143,0,59.35085588912497,2218.942,in_progress,0.0,0
520,4.0,-8.633581307202808,-1.5078584072793826,-59.47394089397163,30.0,1.0,[30.0 1.0],106.45434244699652,False,True,0.2829728916796594,1,59.35085588912497,2219.02,in_progress,0.0,0
520,5.0,-8.592826938194213,-1.5309747912175198,-54.01732451739167,-1.2824424922824988,4.0,[-1.2824424922824988 4.0],1000.0,False,True,0.3492087838735424,1,59.35085588912497,2219.099,in_progress,0.0,0
520,6.0,-8.541438084895505,-1.5661789343024906,-49.43273739896541,-30.0,3.0179526598941444,[-30.0 3.0179526598941444],109.38796411385529,False,True,0.4417808412417444,1,59.35085588912497,2219.177,in_progress,0.0,0
520,7.0,-8.49746467068043,-1.6307442333082192,-51.38087152452616,-30.0,1.0279296924804058,[-30.0 1.0279296924804058],10.60693842177719,False,True,0.5723449064153369,1,59.35085588912497,2219.252,in_progress,0.0,0
520,8.0,-8.47549361485612,-1.7034246965961735,-57.544979077885145,2.2633145115354836,1.0,[2.2633145115354836 1.0],24.60672668088804,False,True,0.6980958721654656,1,59.35085588912497,2219.321,in_progress,0.0,0
520,9.0,-8.45272101999917,-1.7715137336532705,-61.52039896345689,-0.4730001269908648,4.0,[-0.4730001269908648 4.0],1000.0,False,True,0.8176013764538071,2,59.35085588912497,2219.407,in_progress,0.0,0
520,10.0,-8.414138508823422,-1.856385091773062,-62.94892787884279,-25.776806979915616,2.10422108632958,[-25.776806979915616 2.10422108632958],18.387609870545795,False,True,0.974472755891557,2,59.35085588912497,2219.486,in_progress,0.0,0
520,11.0,-8.383351630360057,-1.9653841651794774,-67.57378822452314,26.430418401836917,4.0,[26.430418401836917 4.0],838.7557250650475,False,True,1.1610434820224618,2,59.35085588912497,2219.565,in_progress,0.0,0
520,12.0,-8.34892631655715,-2.083763521033264,-69.93507414821232,-4.044973841443699,4.0,[-4.044973841443699 4.0],888.6474705492332,False,True,1.365138698626173,3,59.35085588912497,2219.65,in_progress,0.0,0
520,13.0,-8.29546571153432,-2.2245201246291266,-69.69587923298455,-25.560168290619387,1.0,[-25.560168290619387 1.0],92.21945245808791,False,True,1.6172454707940467,3,59.35085588912497,2219.731,in_progress,0.0,0
520,14.0,-8.256657578919263,-2.377914401139175,-73.11285949119748,-30.0,1.0,[-30.0 1.0],1.8052004229850191,False,True,1.8769733923157692,4,59.35085588912497,2219.823,in_progress,0.0,0
520,15.0,-8.23701367894512,-2.5086787348314052,-76.9226583238973,30.0,4.0,[30.0 4.0],1000.0,False,True,2.0864461178038054,4,59.35085588912497,2219.897,in_progress,0.0,0
520,16.0,-8.212873712276826,-2.6263917725906145,-77.22715539079518,30.0,4.0,[30.0 4.0],400.11857194862944,False,True,2.280852350484701,5,59.35085588912497,2219.97,in_progress,0.0,0
520,17.0,-8.156693007768503,-2.7356241216576787,-70.6340594041627,30.0,4.0,[30.0 4.0],481.23854602782825,False,True,2.492067284552213,5,59.35085588912497,2220.047,in_progress,0.0,0
520,18.0,-8.063790079435838,-2.8494998182359494,-59.346445610435424,30.0,1.0,[30.0 1.0],5.7245985515843465,False,True,2.733787990269031,6,59.35085588912497,2220.124,in_progress,0.0,0
520,19.0,-7.950637998287369,-2.950849735670439,-44.69572106515803,22.042869706918886,2.7374661468458057,[22.042869706918886 2.7374661468458057],662.2718822720065,False,True,2.973633648310407,6,59.35085588912497,2220.216,in_progress,0.0,0
520,20.0,-7.820418494298214,-3.0390582930455063,-27.353601568285423,-0.4396227747942376,1.0,[-0.4396227747942376 1.0],0.287279783168262,False,True,3.2017315793465846,6,59.35085588912497,2220.307,in_progress,0.0,0
520,21.0,-7.692722374044469,-3.0952984203820932,-9.575986192076618,-23.443431197960038,4.0,[-23.443431197960038 4.0],1000.0,False,True,3.379310710151696,7,59.35085588912497,2220.401,in_progress,0.0,0
520,22.0,-7.560933424540673,-3.1321140662434725,9.039022954668981,-30.0,1.0447616086284202,[-30.0 1.0447616086284202],0.16290473693699464,False,True,3.5268746698277944,7,59.35085588912497,2220.483,in_progress,0.0,0
520,23.0,-7.458615049503211,-3.1389110264692928,27.3993457752454,-3.4171206660583238,4.0,[-3.4171206660583238 4.0],1000.0,False,True,3.609574893835553,7,59.35085588912497,2220.576,in_progress,0.0,0
520,24.0,-7.348582168557935,-3.1339339999911053,42.26457366264786,-30.0,2.011100146327607,[-30.0 2.011100146327607],186.38836229991233,False,True,3.679717775413749,7,59.35085588912497,2220.66,in_progress,0.0,0
520,25.0,-7.254714149780442,-3.0973001809218315,57.573841866873586,-30.0,4.0,[-30.0 4.0],701.3046996199045,False,True,3.690017141263371,7,59.35085588912497,2220.747,in_progress,0.0,0
