episode,steps,X,Y,yaw,steer,throttle,action,reward,done,all_wheels_on_track,progress,closest_waypoint,track_len,tstamp,episode_status,pause_duration,obstacle_crash_counter
340,1.0,-8.657251129513602,-1.489040269900577,-62.531030937581114,-30.0,4.0,[-30.0 4.0],0.0,False,True,0.2364428224055842,0,59.35085588912497,1425.836,prepare,0.0,0
340,2.0,-8.657348325387625,-1.4887179161570556,-62.5251525015051,30.0,2.8575797152303894,[30.0 2.8575797152303894],522.5738036431568,False,True,0.23588539356793442,0,59.35085588912497,1425.92,in_progress,0.0,0
340,3.0,-8.654881331617744,-1.4995416433972262,-63.28858626255401,-6.1542691596485355,4.0,[-6.1542691596485355 4.0],574.8524597419656,False,True,0.25398307129659414,1,59.35085588912497,1425.999,in_progress,0.0,0
340,4.0,-8.640697722283276,-1.5203692721977087,-62.92990581287185,1.8995038872825347,1.0,[1.8995038872825347 1.0],106.33464488272047,False,True,0.29614302063854375,1,59.35085588912497,1426.081,in_progress,0.0,0
340,5.0,-8.624011461742878,-1.5620543880301472,-63.72393145334612,-30.0,4.0,[-30.0 4.0],1000.0,False,True,0.37142745299900337,1,59.35085588912497,1426.16,in_progress,0.0,0
340,6.0,-8.613962442546962,-1.6254820699997707,-68.39861809128926,9.508191437632775,4.0,[9.508191437632775 4.0],400.00791596105324,False,True,0.4740546165247811,1,59.35085588912497,1426.236,in_progress,0.0,0
340,7.0,-8.612410933381698,-1.6951125419055724,-73.79593457860219,-30.0,1.4795676980096704,[-30.0 1.4795676980096704],31.368605362625075,False,True,0.579446115873669,1,59.35085588912497,1426.309,in_progress,0.0,0
340,8.0,-8.61183919883563,-1.7855585667774996,-79.36183505337318,30.0,4.0,[30.0 4.0],741.5163813715702,False,True,0.7151674463442228,1,59.35085588912497,1426.39,in_progress,0.0,0
340,9.0,-8.61820854365829,-1.8768313729631139,-84.19576193746917,18.90975683821184,4.0,[18.90975683821184 4.0],400.0000021512422,False,True,0.8467406337996475,2,59.35085588912497,1426.472,in_progress,0.0,0
340,10.0,-8.588351927449793,-2.0059395689763235,-80.76794497486912,-0.6177327553177534,1.0,[-0.6177327553177534 1.0],0.1376694250137718,False,True,1.0655107767474221,2,59.35085588912497,1426.563,in_progress,0.0,0
340,11.0,-8.55945743890296,-2.1292654010935186,-78.5586710590985,30.0,1.0,[30.0 1.0],1.5625454522286046,False,True,1.2728152670957968,3,59.35085588912497,1426.648,in_progress,0.0,0
340,12.0,-8.530344230732716,-2.2389824838368404,-76.9693522684224,30.0,2.704630180121457,[30.0 2.704630180121457],259.1416215875312,False,True,1.4598444270379574,3,59.35085588912497,1426.733,in_progress,0.0,0
340,13.0,-8.482379910762885,-2.3349828502367966,-71.5444212862668,30.0,3.5420713654381313,[30.0 3.5420713654381313],126.3335618413608,False,True,1.6386253514324303,3,59.35085588912497,1426.809,in_progress,0.0,0
340,14.0,-8.404438088904877,-2.42609171310649,-61.9443154107509,30.0,1.0,[30.0 1.0],0.12513687599485912,False,True,1.8352123746173596,4,59.35085588912497,1426.883,in_progress,0.0,0
340,15.0,-8.312131492180843,-2.4969099926856244,-49.916294051300184,-13.855479264997847,4.0,[-13.855479264997847 4.0],1000.0,False,True,2.0098663890405337,4,59.35085588912497,1426.992,in_progress,0.0,0
340,16.0,-8.18650141502228,-2.610167077975667,-46.14047629442309,-21.620439190841726,4.0,[-21.620439190841726 4.0],576.616928034749,False,True,2.2773997664309538,5,59.35085588912497,1427.078,in_progress,0.0,0
340,17.0,-8.095210791314017,-2.756182646089342,-53.370187958225394,-7.859806170703781,1.4174708537023188,[-7.859806170703781 1.4174708537023188],117.30793762381356,False,True,2.569526710872251,5,59.35085588912497,1427.147,in_progress,0.0,0
340,18.0,-8.037291232003552,-2.893903475702228,-61.86206052011394,18.751643461928346,1.0,[18.751643461928346 1.0],1.3003844040596728,False,True,2.820684573611835,6,59.35085588912497,1427.224,in_progress,0.0,0
340,19.0,-7.985405620592878,-3.0014498278943167,-64.27887323112952,-6.730117172188855,2.8488856533924767,[-6.730117172188855 2.8488856533924767],681.4020911166059,False,True,3.0256998671543904,6,59.35085588912497,1427.306,in_progress,0.0,0
340,20.0,-7.922656036748083,-3.135193856981013,-64.99605623987848,4.642684246775509,1.4687162264173423,[4.642684246775509 1.4687162264173423],7.454351515479535,False,True,3.2746133340268524,7,59.35085588912497,1427.385,in_progress,0.0,0
