Episode #,Training Iter,Epoch,In Heatup,ER #Transitions,ER #Episodes,Episode Length,Total steps,Epsilon,Shaped Training Reward,Training Reward,Update Target Network,Wall-Clock Time,Evaluation Reward,Shaped Evaluation Reward,Success Rate,Inverse Propensity Score,Direct Method Reward,Doubly Robust,Weighted Importance Sampling,Sequential Doubly Robust,Loss/Mean,Loss/Stdev,Loss/Max,Loss/Min,Learning Rate/Mean,Learning Rate/Stdev,Learning Rate/Max,Learning Rate/Min,Grads (unclipped)/Mean,Grads (unclipped)/Stdev,Grads (unclipped)/Max,Grads (unclipped)/Min,Discounted Return/Mean,Discounted Return/Stdev,Discounted Return/Max,Discounted Return/Min,Entropy/Mean,Entropy/Stdev,Entropy/Max,Entropy/Min,Advantages/Mean,Advantages/Stdev,Advantages/Max,Advantages/Min,Values/Mean,Values/Stdev,Values/Max,Values/Min,Value Loss/Mean,Value Loss/Stdev,Value Loss/Max,Value Loss/Min,Policy Loss/Mean,Policy Loss/Stdev,Policy Loss/Max,Policy Loss/Min,Value Targets/Mean,Value Targets/Stdev,Value Targets/Max,Value Targets/Min,KL Divergence/Mean,KL Divergence/Stdev,KL Divergence/Max,KL Divergence/Min,Likelihood Ratio/Mean,Likelihood Ratio/Stdev,Likelihood Ratio/Max,Likelihood Ratio/Min,Clipped Likelihood Ratio/Mean,Clipped Likelihood Ratio/Stdev,Clipped Likelihood Ratio/Max,Clipped Likelihood Ratio/Min
18,0.0,0.0,0.0,600.0,18.0,31.0,600.0,0.1,5298.462494882076,0.0,0.0,58.179083824157715,,,,,,,,,,,,,,,,,,,,,1944.8995394489305,1664.636978092487,4790.882193299567,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,0.0,0.0,0.0,623.0,19.0,23.0,623.0,0.1,2758.3133563703964,0.0,0.0,60.57145977020264,,,,,,,,,,,,,,,,,,,,,1407.0625899685233,767.9025317636202,2484.1230085477355,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,0.0,0.0,0.0,684.0,20.0,61.0,684.0,0.1,15257.85636854383,0.0,0.0,66.34048318862915,,,,,,,,,,,,,,,,,,,,,6500.655448248654,3512.2748697145507,11521.739154282368,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,1.0,0.0,0.0,36.0,1.0,36.0,720.0,0.1,8439.196873672514,0.0,0.0,137.47962713241577,,,,,,,,,,,,,,,,,,,,,3337.198047209926,2343.823832074235,7384.762347389999,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,1.0,0.0,0.0,51.0,2.0,15.0,735.0,0.1,1572.247822405834,0.0,0.0,139.59668827056885,,,,,,,,,,,,,,,,,,,,,539.0781520586471,524.206649725197,1521.667278437952,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,1.0,0.0,0.0,73.0,3.0,22.0,757.0,0.1,4053.6222457631816,0.0,0.0,142.2925670146942,,,,,,,,,,,,,,,,,,,,,1861.0163150259398,1005.5958392152572,3718.190650400443,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,1.0,0.0,0.0,101.0,4.0,28.0,785.0,0.1,4020.582992688164,0.0,0.0,145.6482903957367,,,,,,,,,,,,,,,,,,,,,1660.58035769733,941.9942064154554,3627.8139909528727,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,1.0,0.0,0.0,120.0,5.0,19.0,804.0,0.1,3757.196268523709,0.0,0.0,148.35298585891724,,,,,,,,,,,,,,,,,,,,,1481.3420753695193,1274.8914866092118,3546.3129009320464,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,1.0,0.0,0.0,145.0,6.0,25.0,829.0,0.1,3833.4473597416727,0.0,0.0,151.4054663181305,,,,,,,,,,,,,,,,,,,,,927.086406378801,1212.6193863970261,3674.804365010684,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,1.0,0.0,0.0,165.0,7.0,20.0,849.0,0.1,3739.4482678794375,0.0,0.0,153.84751296043396,,,,,,,,,,,,,,,,,,,,,1615.5459456302865,1121.341275604921,3485.7046002993357,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,1.0,0.0,0.0,183.0,8.0,18.0,867.0,0.1,4177.130864531807,0.0,0.0,156.2982897758484,,,,,,,,,,,,,,,,,,,,,1340.4042541342762,1395.2352560515706,4015.7719608077086,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,1.0,0.0,0.0,214.0,9.0,31.0,898.0,0.1,7436.528544171888,0.0,0.0,160.12311434745789,,,,,,,,,,,,,,,,,,,,,2242.7339105538335,2337.8262956255026,6878.156343128453,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,1.0,0.0,0.0,263.0,10.0,49.0,947.0,0.1,11821.23682266258,0.0,0.0,165.52122521400452,,,,,,,,,,,,,,,,,,,,,4402.402898307072,2974.46516607095,9860.278953670144,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,1.0,0.0,0.0,302.0,11.0,39.0,986.0,0.1,8314.534121364573,0.0,0.0,169.924241065979,,,,,,,,,,,,,,,,,,,,,2731.910018012923,2471.6282956420164,7396.275088602726,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,1.0,0.0,0.0,325.0,12.0,23.0,1009.0,0.1,6041.16321203328,0.0,0.0,172.69535970687866,,,,,,,,,,,,,,,,,,,,,2292.683333658378,1667.6170620895848,5625.799454435109,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,1.0,0.0,0.0,347.0,13.0,22.0,1031.0,0.1,4172.47777661281,0.0,0.0,175.4702935218811,,,,,,,,,,,,,,,,,,,,,1766.8311963455271,1298.7333243116207,3860.600870744612,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,1.0,0.0,0.0,374.0,14.0,27.0,1058.0,0.1,7505.799655354936,0.0,0.0,178.8999423980713,,,,,,,,,,,,,,,,,,,,,3320.1705382302457,2198.7358121291813,6743.550260210967,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,1.0,0.0,0.0,399.0,15.0,25.0,1083.0,0.1,5536.923335354072,0.0,0.0,182.09871912002563,,,,,,,,,,,,,,,,,,,,,2109.955583437439,1568.318543601627,5111.146249867064,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,1.0,0.0,0.0,422.0,16.0,23.0,1106.0,0.1,6950.385272215194,0.0,0.0,184.87627744674683,,,,,,,,,,,,,,,,,,,,,2921.2862846892203,2244.205489175473,6405.968193793155,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,1.0,0.0,0.0,442.0,17.0,20.0,1126.0,0.1,3023.74922210021,0.0,0.0,187.38005328178406,,,,,,,,,,,,,,,,,,,,,1048.3921676697523,817.9764281848668,2871.2078242692155,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,1.0,0.0,0.0,460.0,18.0,18.0,1144.0,0.1,2930.276495713523,0.0,0.0,189.6907181739807,,,,,,,,,,,,,,,,,,,,,1079.3787004266073,909.2715843294084,2791.53997514206,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,1.0,0.0,0.0,480.0,19.0,20.0,1164.0,0.1,3757.777033640183,0.0,0.0,192.4425287246704,,,,,,,,,,,,,,,,,,,,,1415.1982948774632,1159.4735485253434,3545.2886181661966,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,1.0,0.0,0.0,532.0,20.0,52.0,1216.0,0.1,9090.717479705534,0.0,0.0,198.277184009552,,,,,,,,,,,,,,,,,,,,,2865.5166520140215,2325.0727461108495,7754.97277895954,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,2.0,0.0,0.0,17.0,1.0,17.0,1233.0,0.1,2892.365001070623,0.0,0.0,254.937983751297,,,,,,,,,,,,,,,,,,,,,814.4694304804345,897.6616462767079,2809.820628393987,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,2.0,0.0,0.0,37.0,2.0,20.0,1253.0,0.1,4102.122519530327,0.0,0.0,257.59431171417236,,,,,,,,,,,,,,,,,,,,,1359.66537373096,1285.1300414347625,3907.9578051057383,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,2.0,0.0,0.0,66.0,3.0,29.0,1282.0,0.1,5950.198732978766,0.0,0.0,261.0443880558014,,,,,,,,,,,,,,,,,,,,,2221.4460165949654,1597.6636236729528,5413.712262183682,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,2.0,0.0,0.0,86.0,4.0,20.0,1302.0,0.1,3349.1759856904,0.0,0.0,263.82015442848206,,,,,,,,,,,,,,,,,,,,,887.3202465192937,1097.5168772935178,3236.110536054015,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,2.0,0.0,0.0,106.0,5.0,20.0,1322.0,0.1,6513.019131298676,0.0,0.0,266.34154176712036,,,,,,,,,,,,,,,,,,,,,2720.0932609371434,2078.5470240464097,6090.195366912814,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,2.0,0.0,0.0,147.0,6.0,41.0,1363.0,0.1,8975.571442729673,0.0,0.0,271.11378026008606,,,,,,,,,,,,,,,,,,,,,3919.8742987379933,2153.4858096327143,7518.031813332407,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
